Version,Exeuction,Initial Level,C1 Reading Score,C1 Listening Score,C1 Grammar Score,C2 Reading Score,C2 Listening Score,C2 Grammar Score,C1 Reading Level,C1 Listening Level,C1 Grammar Level,C2 Reading Level,C2 Listening Level,C2 Grammar Level,Final Reading,Final Listening,Final Grammar,Final Result
1,1,Basic,60,60,60,100,100,100,B2,B2,B2,B1,B1,B1,,,,
1,2,I'm not sure,80,80,90,100,100,100,B3,B3,B3,I1,I1,I1,,,,I1
1,3,Intermediate,100,100,100,100,100,100,I2,I2,I2,A1,A1,A1,,,,
1,4,Advanced,100,100,100,100,100,100,A2,A2,A2,A3,A3,A3,,,,
1,5,Advanced,50,50,50,100,100,100,I2,A2,A2,A2,I3,I3,,,,
1,6,Intermediate,90,80,90,100,100,100,I2,I2,I2,I3,I3,I3,,,,
1,7,Basic,100,100,100,100,100,100,B2,B2,B2,A3,A3,A3,,,,
1,8,Advanced,0,0,0,0,0,0,A2,A2,A2,B2,B2,B2,,,,
2,1,Basic,60,60,60,100,100,100,B2,B2,B2,B1,B1,B1,,,,
2,2,I'm not sure,90,90,90,100,100,100,B3,B3,B3,I1,I1,I1,,,,
2,3,Intermediate,100,100,100,100,100,100,I2,I2,I2,A1,A1,A1,,,,
2,4,Advanced,100,100,100,100,100,100,A2,A2,A2,A3,A3,A3,,,,
2,5,Advanced,60,60,60,100,100,100,I2,A2,A2,A2,I3,I3,,,,
2,6,Intermediate,80,80,90,100,100,100,I2,I2,I2,I3,I3,I3,,,,
2,7,Intermediate,20,60,100,100,100,100,I2,I2,I2,B1,I1,A1,,,,
3,1,Basic,60,60,60,100,100,100,B2,B2,B2,B1,B1,B1,,,,
3,2,I'm not sure,90,90,90,100,100,100,B3,B3,B3,I1,I1,I1,,,,
3,3,Intermediate,100,100,100,100,100,100,I2,I2,I2,A1,A1,A1,,,,
3,4,Advanced,100,100,100,100,100,100,A2,A2,A2,A3,A3,A3,,,,
3,5,Advanced,60,60,60,100,100,100,I2,A2,A2,A2,I3,I3,,,,
